entity_id,chain,address,mintFunction,honeypot,ownershipRenounce,hiddenOwner,openSource,blacklist,raw_keys
euroe-stablecoin,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
euroe-stablecoin,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
euroe-stablecoin,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fantom-usd,,,True,False,True,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fdusd,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fdusd,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fei-usd,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,True,False,True,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
fraxfinance,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
gemini-dollar,,,True,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
global-dollar,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
